,metric,value,day
0,correlation,0.023498838521585703,4
1,nrmse dc,9.830285246765342,4
2,rae dc,0.07705346812699683,4
3,nrmse rdc,22.58105925976668,4
4,correlation,0.033823111396440786,8
5,nrmse dc,8.721571977663183,8
6,rae dc,0.10409258254945258,8
7,nrmse rdc,22.70917693447366,8
8,correlation,0.029130412271521355,12
9,nrmse dc,8.052238639640347,12
10,rae dc,0.10293412815481363,12
11,nrmse rdc,22.673575549957878,12
12,correlation,0.03342099970959137,24
13,nrmse dc,7.457159024745281,24
14,rae dc,0.4696692364654989,24
15,nrmse rdc,23.474501410750516,24
16,correlation,0.04851729869316945,48
17,nrmse dc,2.7824740927663556,48
18,rae dc,0.5194441628737526,48
19,nrmse rdc,24.83340319250796,48
20,correlation,0.014427938801593801,61
21,nrmse dc,1.119377637223918,61
22,rae dc,0.1474606638334435,61
23,nrmse rdc,24.36022743723234,61
